Source:,/home/rafael/devel/mod-hw-duo/Duo_RC1A/Duo_BottomBoard_RC1A.sch
Date:,Wed 16 Jul 2014 18:13:17 BRT
Tool:,eeschema (2014-03-19 BZR 4756)-product
Component Count:,346

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,GNDA6,PAD_GND,conn:CONN_1,Duo_Audio_HMI_RC1A:GNDPAD_18_8MIL,
,,GNDA7,PAD_GND,conn:CONN_1,Duo_Audio_HMI_RC1A:GNDPAD_18_8MIL,
,,GNDA8,PAD_GND,conn:CONN_1,Duo_Audio_HMI_RC1A:GNDPAD_18_8MIL,
,,GNDA9,PAD_GND,conn:CONN_1,Duo_Audio_HMI_RC1A:GNDPAD_18_8MIL,
,,J1,JACK_P10_TRS_6P,Duo_Audio_HMI_RC1A:JACK_P10_TRS_6P,Duo_Audio_HMI_RC1A:JACK-NMJ6HCD2_1,
,,J10,MIDI_CONN,Duo_Audio_HMI_RC1A:MIDI_CONN,Duo_Audio_HMI_RC1A:CON_MIDI_161_0505_E,
,,J11,JACK_3P_2.5MM,Duo_Audio_HMI_RC1A:JACK_3P,Duo_Audio_HMI_RC1A:PJ-002B,
,,J2,JACK_P10_TRS_6P,Duo_Audio_HMI_RC1A:JACK_P10_TRS_6P,Duo_Audio_HMI_RC1A:JACK-NMJ6HCD2_1,
,,J3,JACK_P10_TRS_6P,Duo_Audio_HMI_RC1A:JACK_P10_TRS_6P,Duo_Audio_HMI_RC1A:JACK-NMJ6HCD2_1,
,,J4,JACK_P10_TRS_6P,Duo_Audio_HMI_RC1A:JACK_P10_TRS_6P,Duo_Audio_HMI_RC1A:JACK-NMJ6HCD2_1,
,,J5,JACK_P10_TRS_6P,Duo_Audio_HMI_RC1A:JACK_P10_TRS_6P,Duo_Audio_HMI_RC1A:JACK-NMJ6HCD2_1,
,,J6,USB_A,Duo_Audio_HMI_RC1A:USB_A,Duo_Audio_HMI_RC1A:USB_A_73725,
,,J7,MINI_USB_OTG,Duo_Audio_HMI_RC1A:MINI_USB_OTG,Duo_Audio_HMI_RC1A:USB_MINI_B_10033526_N3212LF,
,,J8,RJ45_CHAIN,Duo_Audio_HMI_RC1A:RJ45_CHAIN,Duo_Audio_HMI_RC1A:RJ45_10117863_5036010LF,
,,J9,MIDI_CONN,Duo_Audio_HMI_RC1A:MIDI_CONN,Duo_Audio_HMI_RC1A:CON_MIDI_161_0505_E,
,,K1,IMC03TS,Duo_Audio_HMI_RC1A:RELAY_SPST,Duo_Audio_HMI_RC1A:IMC03TS,
,,K2,IMC03TS,Duo_Audio_HMI_RC1A:RELAY_SPST,Duo_Audio_HMI_RC1A:IMC03TS,
,,L1,220uH_1.1A_290mR,Duo_Audio_HMI_RC1A:INDUCTOR_RADIAL_4P,Duo_Audio_HMI_RC1A:IND_RAD_10MM_4P,
,,L2,CM_NOISE_FILTER,Duo_Audio_HMI_RC1A:CM_NOISE_FILTER,Duo_Audio_HMI_RC1A:EXC14CE,
,,L3,CM_NOISE_FILTER,Duo_Audio_HMI_RC1A:CM_NOISE_FILTER,Duo_Audio_HMI_RC1A:EXC14CE,
,,P1,HEADER_180_2.54_10X2,conn:CONN_10X2,Duo_Audio_HMI_RC1A:Pin_Header_180_2.54_2x10,
,,P2,KK3.96_2,conn:CONN_2,Duo_Audio_HMI_RC1A:KK3.96_2PIN,
,,Q1,BS870,Duo_Audio_HMI_RC1A:MOS_N_SOT23,Duo_Audio_HMI_RC1A:SOT23,
,,Q2,BS870,Duo_Audio_HMI_RC1A:MOS_N_SOT23,Duo_Audio_HMI_RC1A:SOT23,
,,Q3,BS870,Duo_Audio_HMI_RC1A:MOS_N_SOT23,Duo_Audio_HMI_RC1A:SOT23,
,,Q4,BS870,Duo_Audio_HMI_RC1A:MOS_N_SOT23,Duo_Audio_HMI_RC1A:SOT23,
,,Q5,BS870,Duo_Audio_HMI_RC1A:MOS_N_SOT23,Duo_Audio_HMI_RC1A:SOT23,
,,QA1,J113,Duo_BottomBoard_RC1A-cache:FET_N_TO92,Duo_Audio_HMI_RC1A:TO92_INLINE,
,,QA10,J113,Duo_BottomBoard_RC1A-cache:FET_N_TO92,Duo_Audio_HMI_RC1A:TO92_INLINE,
,,QA11,BS870,Duo_Audio_HMI_RC1A:MOS_N_SOT23,Duo_Audio_HMI_RC1A:SOT23,
